"Name","Measure","Measure.Info","Geo.Type.Name","Geo.Place.Name","Time.Period","Data.Value","season_abb","Year","above_NAAQS_standard"
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Jamaica","Winter 2010-11",2.97,"W",2011,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Willowbrook","Winter 2011-12",0.86,"W",2012,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Kingsbridge - Riverdale","Winter 2008-09",6.62,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Northeast Bronx","Winter 2008-09",5.38,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fordham - Bronx Pk","Winter 2008-09",9.48,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Pelham - Throgs Neck","Winter 2008-09",5.15,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Crotona -Tremont","Winter 2008-09",9.36,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","High Bridge - Morrisania","Winter 2008-09",8.99,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Hunts Point - Mott Haven","Winter 2008-09",5.22,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenpoint","Winter 2008-09",4.25,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Downtown - Heights - Slope","Winter 2008-09",4.14,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bedford Stuyvesant - Crown Heights","Winter 2008-09",4.62,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East New York","Winter 2008-09",3.89,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Sunset Park","Winter 2008-09",3.79,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Borough Park","Winter 2008-09",4.28,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Flatbush - Flatbush","Winter 2008-09",4.6,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Canarsie - Flatlands","Winter 2008-09",3.22,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bensonhurst - Bay Ridge","Winter 2008-09",3.37,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Coney Island - Sheepshead Bay","Winter 2008-09",3.21,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Williamsburg - Bushwick","Winter 2008-09",4.78,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Washington Heights","Winter 2008-09",11.12,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Central Harlem - Morningside Heights","Winter 2008-09",8.21,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Harlem","Winter 2008-09",7.04,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper West Side","Winter 2008-09",10.87,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper East Side","Winter 2008-09",12.12,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Chelsea - Clinton","Winter 2008-09",8.37,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Gramercy Park - Murray Hill","Winter 2008-09",9.8,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenwich Village - SoHo","Winter 2008-09",7.35,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Union Square - Lower East Side","Winter 2008-09",7.91,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Lower Manhattan","Winter 2008-09",4.57,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Long Island City - Astoria","Winter 2008-09",5.11,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","West Queens","Winter 2008-09",5.38,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Flushing - Clearview","Winter 2008-09",4.49,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bayside - Little Neck","Winter 2008-09",3.69,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Ridgewood - Forest Hills","Winter 2008-09",4.5,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fresh Meadows","Winter 2008-09",4.02,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southwest Queens","Winter 2008-09",3.72,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Jamaica","Winter 2008-09",3.53,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southeast Queens","Winter 2008-09",3.18,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Rockaways","Winter 2008-09",2.39,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Port Richmond","Winter 2008-09",2.49,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Stapleton - St. George","Winter 2008-09",2.53,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Willowbrook","Winter 2008-09",2.17,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","South Beach - Tottenville","Winter 2008-09",1.84,"W",2009,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Kingsbridge - Riverdale","Winter 2009-10",4.16,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Northeast Bronx","Winter 2009-10",3.37,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fordham - Bronx Pk","Winter 2009-10",6.03,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Pelham - Throgs Neck","Winter 2009-10",3.34,"W",2010,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Crotona -Tremont","Winter 2009-10",6.1,"W",2010,FALSE
