"Borough","Year","Name","Measure.Info","avg_value","male","female","felony","misdemeanor","violation","<18","18-24","25-44","45-64","65+","drug_use","larceny","DUI","assault","total_crime","crime_per_value","above_NAAQS_standard","start_season"
"Bronx",2009,"Nitrogen Dioxide (NO2)","ppb",20.83,41724,8732,12386,36796,1057,5807,14087,21804,8466,292,16516,1524,592,6172,50456,2422.27556409025,FALSE,"Summer"
"Bronx",2009,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",10.73,41724,8732,12386,36796,1057,5807,14087,21804,8466,292,16516,1524,592,6172,50456,4702.32991612302,TRUE,"Summer"
"Bronx",2009,"Ozone (O3)","ppb",25.3,41724,8732,12386,36796,1057,5807,14087,21804,8466,292,16516,1524,592,6172,50456,1994.30830039526,FALSE,"Summer"
"Bronx",2010,"Nitrogen Dioxide (NO2)","ppb",19.42,43173,8999,11818,39182,1050,6254,15192,21933,8503,290,16287,1586,566,6788,52172,2686.508753862,FALSE,"Summer"
"Bronx",2010,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",12.12,43173,8999,11818,39182,1050,6254,15192,21933,8503,290,16287,1586,566,6788,52172,4304.6204620462,TRUE,"Summer"
"Bronx",2010,"Ozone (O3)","ppb",33.16,43173,8999,11818,39182,1050,6254,15192,21933,8503,290,16287,1586,566,6788,52172,1573.34137515078,FALSE,"Summer"
"Bronx",2011,"Nitrogen Dioxide (NO2)","ppb",18.31,41158,8830,11225,37426,1141,5838,14410,20902,8542,296,15367,1857,479,6671,49988,2730.09284543965,FALSE,"Summer"
"Bronx",2011,"Ozone (O3)","ppb",32.91,41158,8830,11225,37426,1141,5838,14410,20902,8542,296,15367,1857,479,6671,49988,1518.93041628684,FALSE,"Summer"
"Bronx",2011,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",11.66,41158,8830,11225,37426,1141,5838,14410,20902,8542,296,15367,1857,479,6671,49988,4287.13550600343,TRUE,"Summer"
"Bronx",2012,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",10.51,37696,8361,10582,33880,1363,4628,13406,19579,8146,298,13403,2088,484,7033,46057,4382.20742150333,TRUE,"Summer"
"Bronx",2012,"Nitrogen Dioxide (NO2)","ppb",17.02,37696,8361,10582,33880,1363,4628,13406,19579,8146,298,13403,2088,484,7033,46057,2706.05170387779,FALSE,"Summer"
"Bronx",2012,"Ozone (O3)","ppb",34.61,37696,8361,10582,33880,1363,4628,13406,19579,8146,298,13403,2088,484,7033,46057,1330.74255995377,FALSE,"Summer"
"Bronx",2013,"Ozone (O3)","ppb",31.25,36091,7985,10337,32662,903,3798,12435,19491,8041,311,11095,1943,659,7330,44076,1410.432,FALSE,"Summer"
"Bronx",2013,"Nitrogen Dioxide (NO2)","ppb",15.91,36091,7985,10337,32662,903,3798,12435,19491,8041,311,11095,1943,659,7330,44076,2770.3331238215,FALSE,"Summer"
"Bronx",2013,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",10.44,36091,7985,10337,32662,903,3798,12435,19491,8041,311,11095,1943,659,7330,44076,4221.83908045977,TRUE,"Summer"
"Bronx",2014,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",8.85,37714,8001,11031,32964,1608,3605,12802,20622,8381,305,10830,3264,674,7792,45715,5165.53672316384,FALSE,"Summer"
"Bronx",2014,"Ozone (O3)","ppb",31.15,37714,8001,11031,32964,1608,3605,12802,20622,8381,305,10830,3264,674,7792,45715,1467.57624398074,FALSE,"Summer"
"Bronx",2014,"Nitrogen Dioxide (NO2)","ppb",15.75,37714,8001,11031,32964,1608,3605,12802,20622,8381,305,10830,3264,674,7792,45715,2902.53968253968,FALSE,"Summer"
