"Borough","Year","Name","Measure.Info","avg_value","male","female","felony","misdemeanor","violation","<18","18-24","25-44","45-64","65+","drug_use","larceny","DUI","assault","total_crime","crime_per_value","above_NAAQS_standard","start_season"
"Bronx",2009,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",10.73,83068,16787,23900,73690,1878,11756,28075,42755,16691,578,32612,2894,1159,11883,99855,9306.15097856477,TRUE,"Summer"
"Bronx",2009,"Nitrogen Dioxide (NO2)","ppb",20.83,83068,16787,23900,73690,1878,11756,28075,42755,16691,578,32612,2894,1159,11883,99855,4793.80700912146,FALSE,"Summer"
"Bronx",2009,"Ozone (O3)","ppb",25.3,83068,16787,23900,73690,1878,11756,28075,42755,16691,578,32612,2894,1159,11883,99855,3946.83794466403,FALSE,"Summer"
"Bronx",2010,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",12.12,83180,17355,22845,75393,2014,12449,29044,41934,16525,583,30938,3102,1144,12787,100535,8294.96699669967,TRUE,"Summer"
"Bronx",2010,"Nitrogen Dioxide (NO2)","ppb",19.42,83180,17355,22845,75393,2014,12449,29044,41934,16525,583,30938,3102,1144,12787,100535,5176.87950566426,FALSE,"Summer"
"Bronx",2010,"Ozone (O3)","ppb",33.16,83180,17355,22845,75393,2014,12449,29044,41934,16525,583,30938,3102,1144,12787,100535,3031.81544028951,FALSE,"Summer"
"Bronx",2011,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",11.66,79875,17002,21684,72641,2168,11453,27911,40416,16501,596,29361,3682,954,12679,96877,8308.49056603774,TRUE,"Summer"
"Bronx",2011,"Nitrogen Dioxide (NO2)","ppb",18.31,79875,17002,21684,72641,2168,11453,27911,40416,16501,596,29361,3682,954,12679,96877,5290.93391589296,FALSE,"Summer"
"Bronx",2011,"Ozone (O3)","ppb",32.91,79875,17002,21684,72641,2168,11453,27911,40416,16501,596,29361,3682,954,12679,96877,2943.69492555454,FALSE,"Summer"
"Bronx",2012,"Fine Particulate Matter (PM2.5)","mcg per cubic meter",10.51,73923,16040,20403,66823,2341,8986,26319,38201,15904,553,25720,3825,941,13288,89963,8559.75261655566,TRUE,"Summer"
"Bronx",2012,"Nitrogen Dioxide (NO2)","ppb",17.02,73923,16040,20403,66823,2341,8986,26319,38201,15904,553,25720,3825,941,13288,89963,5285.72267920094,FALSE,"Summer"
"Bronx",2012,"Ozone (O3)","ppb",34.61,73923,16040,20403,66823,2341,8986,26319,38201,15904,553,25720,3825,941,13288,89963,2599.33545218145,FALSE,"Summer"
