"ARREST_PRECINCT","Year","male","female","felony","misdemeanor","violation","<18","18-24","25-44","45-64","65+","drug_use","larceny","DUI","assault","total_crime"
1,2006,3122,902,666,2804,536,204,737,2154,900,29,82,258,40,195,4024
1,2007,3729,1068,711,3402,643,254,968,2474,1055,46,70,300,237,273,4797
1,2008,3984,1024,764,3692,528,295,1023,2488,1169,33,105,361,167,235,5008
1,2009,4329,1042,728,3801,808,294,1061,2590,1373,53,106,320,58,191,5371
1,2010,4014,936,697,3655,578,239,1001,2327,1327,56,107,316,88,194,4950
1,2011,4349,1234,639,3930,991,324,1425,2536,1252,46,122,368,145,204,5583
1,2012,4291,1188,638,3871,945,320,1392,2535,1146,86,104,295,82,237,5479
1,2013,3769,1009,670,3427,670,229,1103,2232,1138,76,123,446,94,234,4778
1,2014,3751,925,691,3173,792,259,1073,2158,1112,74,134,1045,211,253,4676
1,2015,3353,766,747,2815,523,212,957,2008,899,43,121,1033,69,245,4119
1,2016,2942,845,844,2772,155,174,891,1872,811,39,239,1073,71,292,3787
1,2017,2550,524,747,2164,149,100,714,1607,609,44,191,875,43,279,3074
1,2018,2211,581,754,1976,37,96,558,1454,654,30,67,1206,37,278,2792
1,2019,2227,460,822,1736,113,75,431,1421,725,35,49,896,35,279,2687
1,2020,1165,242,625,743,10,50,339,708,297,13,17,352,16,175,1407
1,2021,1513,240,648,1075,3,39,284,1032,378,20,24,642,20,313,1753
1,2022,1959,294,830,1394,8,51,298,1317,558,29,32,971,24,280,2253
5,2006,4046,1064,1900,2705,414,265,949,2719,1139,36,371,370,30,350,5110
5,2007,4013,1056,1902,2706,348,279,1042,2617,1091,40,412,387,37,399,5069
5,2008,4151,1182,1829,2924,450,316,984,2690,1271,71,420,415,41,360,5333
5,2009,4440,1195,1983,2899,583,338,1135,2677,1398,87,438,484,27,413,5635
5,2010,4786,1253,1874,3379,602,546,1162,2798,1449,84,426,519,40,351,6039
5,2011,4490,1301,1921,3096,622,550,1163,2546,1427,105,398,540,25,377,5791
5,2012,4679,1281,2030,3247,511,434,1188,2669,1562,107,415,499,25,386,5960
5,2013,4923,1198,1859,3540,560,313,1381,2858,1475,94,382,558,30,368,6121
5,2014,4899,1147,2075,3341,472,284,1253,2801,1619,89,476,926,30,357,6046
5,2015,4529,894,1920,2952,412,196,1213,2709,1236,69,467,723,27,399,5423
5,2016,4448,975,2088,2786,137,227,1222,2764,1139,71,542,880,31,453,5423
5,2017,4101,1063,2034,2553,36,137,1077,2794,1076,80,597,871,29,524,5164
5,2018,3733,837,2219,1880,32,114,822,2427,1115,92,305,1073,41,487,4570
5,2019,3390,676,2038,1574,80,109,740,2100,1038,79,216,888,22,514,4066
5,2020,1925,274,1170,703,7,54,322,1352,444,27,67,403,8,291,2199
5,2021,2160,267,1385,808,0,38,410,1307,624,48,113,393,14,332,2427
5,2022,2646,320,1588,1016,2,64,442,1737,644,79,199,514,18,445,2966
6,2006,3321,541,1062,2497,281,212,1101,1948,580,21,1269,189,73,281,3862
6,2007,3901,667,1092,3138,315,248,1265,2225,794,35,1605,209,97,268,4568
6,2008,3672,683,997,2991,350,293,1212,1989,843,18,1396,209,133,267,4355
6,2009,3832,833,1059,3168,415,332,1325,2138,848,22,1320,259,250,286,4665
6,2010,3939,696,974,3217,432,274,1302,2134,894,31,1307,232,213,252,4635
6,2011,3935,708,887,3139,606,222,1476,2072,840,33,1398,214,150,289,4643
6,2012,3584,590,949,2780,424,128,1251,1920,845,30,834,227,288,299,4174
6,2013,3901,598,934,3022,520,172,1091,2230,962,44,766,338,375,351,4499
6,2014,3931,545,896,2828,739,146,1141,2103,1027,59,788,569,227,308,4476
6,2015,3276,523,882,2395,507,154,952,1848,813,32,517,706,155,294,3799
6,2016,2402,449,824,1903,115,129,702,1359,634,27,414,507,145,361,2851
6,2017,2709,485,955,2160,76,117,753,1566,725,33,672,570,95,373,3194
6,2018,2297,425,1071,1616,27,104,476,1329,780,33,443,617,49,348,2722
6,2019,1828,383,908,1285,16,149,347,1115,569,31,335,553,45,306,2211
6,2020,1509,298,911,886,6,98,305,966,422,16,146,403,9,277,1807
6,2021,1195,235,684,740,4,41,197,847,323,22,166,316,7,256,1430
6,2022,1643,242,870,1004,5,56,250,1102,451,26,174,523,6,350,1885
7,2006,2641,447,883,2095,96,257,754,1542,503,30,791,111,39,358,3088
7,2007,2964,632,1066,2393,88,306,930,1765,561,33,907,101,103,434,3596
7,2008,2579,537,838,2151,103,277,780,1533,498,28,794,157,71,376,3116
7,2009,2902,553,859,2417,169,298,883,1731,515,28,988,135,62,379,3455
7,2010,3071,549,715,2662,230,295,951,1716,635,23,1013,119,122,353,3620
7,2011,3324,593,719,2917,254,207,1037,1824,795,54,930,165,180,391,3917
7,2012,3506,618,830,2923,354,295,1048,1898,823,60,767,121,100,422,4124
7,2013,3235,583,871,2669,271,289,1018,1763,708,40,691,142,113,416,3818
7,2014,2861,507,830,2372,157,281,868,1585,587,47,560,224,86,403,3368
7,2015,2747,558,714,2390,188,249,923,1515,589,29,618,242,56,431,3305
7,2016,2358,513,758,2076,31,138,849,1446,417,21,638,284,37,507,2871
7,2017,2208,505,727,1961,19,126,758,1427,374,28,616,260,30,470,2713
7,2018,1846,465,709,1559,34,88,504,1256,434,29,309,247,32,461,2311
7,2019,1704,384,705,1360,14,89,442,1151,374,32,109,267,24,474,2088
7,2020,1038,229,521,739,3,38,199,803,208,19,59,228,12,308,1267
7,2021,1325,297,611,997,3,43,242,982,332,23,69,374,16,365,1622
7,2022,1665,387,798,1235,3,56,295,1257,421,23,103,562,21,485,2052
9,2006,3571,581,1328,2516,292,327,1009,2038,744,34,859,145,36,443,4152
9,2007,3539,654,1142,2779,256,364,1166,1851,770,41,856,209,28,447,4193
9,2008,3598,750,1062,2982,288,403,1300,1870,753,22,836,234,20,420,4348
9,2009,3685,700,1214,2727,433,379,1194,1927,852,33,786,235,36,422,4385
9,2010,3813,729,1081,3196,255,289,1330,2030,868,25,1034,220,91,492,4542
9,2011,3626,738,921,3145,288,284,1217,1966,857,40,1095,203,28,415,4364
9,2012,3728,639,1041,2956,363,254,1274,1953,835,51,1128,197,37,445,4367
9,2013,3399,638,1018,2703,308,230,1074,1868,827,38,965,245,33,435,4037
9,2014,3380,546,932,2638,350,163,1052,1866,806,39,861,456,31,431,3926
9,2015,3247,615,921,2638,296,191,1131,1795,718,27,903,548,18,420,3862
9,2016,2869,582,1056,2323,57,149,860,1765,647,30,811,461,17,507,3451
9,2017,2385,503,914,1949,17,103,741,1473,534,37,706,400,13,447,2888
9,2018,1862,448,792,1500,10,49,476,1219,537,29,430,387,15,405,2310
9,2019,1549,354,751,1130,16,96,361,1039,382,25,238,378,7,415,1903
